Ppv,Pdg,Pch,Pdch,SOC,Pbuy,Psell,Eload,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
1.2018878476852696e-13,0.0,0.0,0.0,0,0.0,0.0,1855.8126968593053,1.2018878476852696e-13,0.07054,0.1635,1855.8126968593053,333.3526888040498,2.9000000000000004,10
9.649106702904604e-14,0.0,0.0,0.0,0,0.0,0.0,1837.5205490110736,9.649106702904604e-14,0.07054,0.1635,1837.5205490110736,267.6031556467187,1.7000000000000002,10
9.448490043138573e-14,0.0,0.0,0.0,0,0.0,0.0,1968.3752682403886,9.448490043138573e-14,0.07054,0.1635,1968.3752682403886,262.0202511307595,-0.6000000000000001,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2486.4516353805234,0.0,0.07054,0.1635,2486.4516353805234,0.0,-1.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3463.4171479841934,0.0,0.07054,0.1635,3463.4171479841934,0.0,-3.5,10
0.0,0.0,0.0,0.0,0,0.0,0.0,4010.2781791380767,0.0,0.07054,0.1635,4010.2781791380767,0.0,-4.2,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3928.5832016959926,0.0,0.07054,0.1635,3928.5832016959926,0.0,-4.6000000000000005,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3677.5285013596745,0.0,0.07054,0.1635,3677.5285013596745,0.0,-4.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,3403.221987216039,0.0,0.07054,0.1635,3403.221987216039,0.0,-5.4,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2826.2309312867196,0.0,0.07054,0.1635,2826.2309312867196,0.0,-5.9,10
0.0,0.0,0.0,0.0,0,0.0,0.0,2250.0185407500167,0.0,0.07054,0.1635,2250.0185407500167,0.0,-6.2,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1657.025911002415,0.0,0.07054,0.1635,1657.025911002415,0.0,-6.0,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1444.8741988650204,0.0,0.07054,0.1635,1444.8741988650204,0.0,-5.7,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1380.3487933301444,0.0,0.07054,0.1635,1380.3487933301444,0.0,-5.300000000000001,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1366.218179413567,0.0,0.07054,0.1635,1366.218179413567,0.0,-5.0,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1364.2196049058496,0.0,0.07054,0.1635,1364.2196049058496,0.0,-5.1000000000000005,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1472.0215025948482,0.0,0.07054,0.1635,1472.0215025948482,0.0,-5.6000000000000005,10
0.0,0.0,0.0,0.0,0,0.0,0.0,1877.8575793080668,0.0,0.07054,0.1635,1877.8575793080668,0.0,-6.1000000000000005,10
1.5998335194066158e-15,0.0,0.0,0.0,0,0.0,0.0,2478.254019163804,1.5998335194066158e-15,0.07054,0.1635,2478.254019163804,4.43508010227162,-5.7,10
1.631719374979507e-14,0.0,0.0,0.0,0,0.0,0.0,2328.187894331085,1.631719374979507e-14,0.07054,0.1635,2328.187894331085,45.23781704317053,-4.4,10
1.9835797112602318e-14,0.0,0.0,0.0,0,0.0,0.0,1978.247015051235,1.9835797112602318e-14,0.07054,0.1635,1978.247015051235,54.994993268168095,-3.3000000000000003,10
3.583117279468838e-14,0.0,0.0,0.0,0,0.0,0.0,1967.5533436592925,3.583117279468838e-14,0.07054,0.1635,1967.5533436592925,99.34579429088431,-3.2,10
1.3117708579915582e-14,0.0,0.0,0.0,0,0.0,0.0,1928.9769623333839,1.3117708579915582e-14,0.07054,0.1635,1928.9769623333839,36.36765683862729,-4.1000000000000005,10
